B07774L6TT,Sceptre 22 inch 75Hz 1080P LED Monitor 99% sRGB HDMI X2 VGA Build-In Speakers, Machine Black (E225W-19203R series)  ,89.97,https://m.media-amazon.com/images/I/51b5m+T6ZKL._AC_UL320_.jpg,c93ed7f5-9ea1-495f-b093-17b6c645bac1
B0787WGCXT,ViewSonic 32 Inch 1080p Widescreen IPS Monitor with Ultra-Thin Bezels, Screen Split Capability HDMI and DisplayPort (VX3276-MHD)  ,199.99,https://m.media-amazon.com/images/I/61FpOkMA1VL._AC_UL320_.jpg,c93ed7f5-9ea1-495f-b093-17b6c645bac1
B0B928B6BC,LG UltraGear QHD 34-Inch Curved Gaming Monitor 34GP63A-B, VA with HDR 10 Compatibility and AMD FreeSync Premium, 160Hz, Black  ,393.72,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81soN3bwVFL._AC_UL320_.jpg,c93ed7f5-9ea1-495f-b093-17b6c645bac1
B088HHZBGJ,SAMSUNG Odyssey G7 Series 32-Inch WQHD (2560x1440) Gaming Monitor, 240Hz, Curved, 1ms, HDMI, G-Sync, FreeSync Premium Pro (LC32G75TQSNXZA)  ,749.99,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61r-XPKCzKL._AC_UL320_.jpg,c93ed7f5-9ea1-495f-b093-17b6c645bac1
B0148NNKTC,Acer 23.8” Full HD 1920 x 1080 IPS Zero Frame Home Office Computer Monitor - 178° Wide View Angle - 16.7M - NTSC 72% Color Gamut - Low Blue Light - Tilt Compatible - VGA HDMI DVI R240HY bidx  ,109.99,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/91K9SyGiyzL._AC_UL320_.jpg,c93ed7f5-9ea1-495f-b093-17b6c645bac1
B07MTRQ6B3,Sceptre Curved 27 Inch  FHD 1080p 75Hz LED Monitor HDMI VGA Build-In Speakers, EDGE-LESS Metal Black 2019 (C275W-1920RN)  ,149.18,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71-4ZeUWzqL._AC_UL320_.jpg,c93ed7f5-9ea1-495f-b093-17b6c645bac1
B08R6BBGMS,Acer 23.8” Full HD (1920 x 1080) Computer Monitor with AMD Radeon FreeSync Technology, 75Hz, 1ms (VRB) (HDMI Port 1.4 & VGA Port) K242HYL Hbi  ,94.99,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/714F6KusyaL._AC_UL320_.jpg,c93ed7f5-9ea1-495f-b093-17b6c645bac1
B0B1B3VZLD,KOORUI 27 Inch QHD Gaming Monitor 144 Hz, VA, 1ms, DCI-P3 90% Color Gamut, FreeSync G-Sync Compatible, (2560x1440, HDMI, DisplayPort) Black  ,179.99,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71DgPQNRm6L._AC_UL320_.jpg,c93ed7f5-9ea1-495f-b093-17b6c645bac1
B08C5MGFXQ,ASUS VA24DQ 23.8” Monitor, 1080P Full HD, 75Hz, IPS, Adaptive-Sync/FreeSync, Eye Care, HDMI DisplayPort VGA, Frameless, VESA Wall Mountable ,BLACK  ,129,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71E1ePS8QDL._AC_UL320_.jpg,c93ed7f5-9ea1-495f-b093-17b6c645bac1
B09R26XXFW,Acer Nitro XV272U Vbmiiprx 27 Inch  Zero-Frame WQHD 2560 x 1440 Gaming Monitor | AMD FreeSync Premium | Agile-Splendor IPS | Overclock to 170Hz | Up to 0.5ms | 95% DCI-P3 | 1 x Display Port & 2 x HDMI 2.0  ,249.99,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71XNJ9z6miL._AC_UL320_.jpg,c93ed7f5-9ea1-495f-b093-17b6c645bac1
B0911MSYGW,Sceptre 27 inch 240Hz 1080p Gaming Monitor AMD FreeSync Premium HDMI DisplayPort, Height Adjustable Build-in Speakers Gunmetal Black (E275B-FWD240)  ,199.97,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71ZZi5G0DwL._AC_UL320_.jpg,c93ed7f5-9ea1-495f-b093-17b6c645bac1
